No devices were found
Environment created
Box(-1.0, 1.0, (8,), float32) Box(-inf, inf, (105,), float64)
Loading Initial saved model
Model loaded
Starting evaluation
5000
---------------------------------
Searching empty space policies
(10, 11472)
(210, 11472)
(210, 11472)
Average distance of agents to nearest neighbors: 0.014925846054538588
avg return on 5 trajectories of agent0: 805.2566956
avg return on 5 trajectories of agent1: 990.1613986
avg return on 5 trajectories of agent2: 774.0635528
avg return on 5 trajectories of agent3: 885.6485482
avg return on 5 trajectories of agent4: 1076.3839256
avg return on 5 trajectories of agent5: 947.8701133999999
avg return on 5 trajectories of agent6: 1240.6057352
avg return on 5 trajectories of agent7: 1180.1748671999999
avg return on 5 trajectories of agent8: 1054.5040450000001
avg return on 5 trajectories of agent9: 1157.6191886000001
avg return on 5 trajectories of agent10: 933.1269927999999
avg return on 5 trajectories of agent11: 1035.1503106
avg return on 5 trajectories of agent12: 978.9870874000001
avg return on 5 trajectories of agent13: 1094.586008
avg return on 5 trajectories of agent14: 1093.4085418
avg return on 5 trajectories of agent15: 1052.1484748000003
avg return on 5 trajectories of agent16: 1057.4521892
avg return on 5 trajectories of agent17: 903.7994048
avg return on 5 trajectories of agent18: 1048.7772295999998
avg return on 5 trajectories of agent19: 1003.205147
avg return on 5 trajectories of agent20: 1039.3395332
avg return on 5 trajectories of agent21: 1024.4907278
avg return on 5 trajectories of agent22: 947.8906208000001
avg return on 5 trajectories of agent23: 804.9035537999999
avg return on 5 trajectories of agent24: 830.1207824
avg return on 5 trajectories of agent25: 779.847191
avg return on 5 trajectories of agent26: 1091.9644858
avg return on 5 trajectories of agent27: 842.0770434
avg return on 5 trajectories of agent28: 926.0231432
avg return on 5 trajectories of agent29: 1049.3108084
avg return on 5 trajectories of agent30: 1114.8041592
avg return on 5 trajectories of agent31: 1058.6197712
avg return on 5 trajectories of agent32: 1016.2311266
avg return on 5 trajectories of agent33: 1095.0963196
avg return on 5 trajectories of agent34: 1222.1946462
avg return on 5 trajectories of agent35: 1020.6610772
avg return on 5 trajectories of agent36: 1197.8969664
avg return on 5 trajectories of agent37: 1071.5417911999998
avg return on 5 trajectories of agent38: 1049.1662959999999
avg return on 5 trajectories of agent39: 1090.7781152000002
avg return on 5 trajectories of agent40: 1188.4971654
avg return on 5 trajectories of agent41: 1253.0901966
avg return on 5 trajectories of agent42: 1034.9515892
avg return on 5 trajectories of agent43: 772.1816878
avg return on 5 trajectories of agent44: 1050.983519
avg return on 5 trajectories of agent45: 805.9892319999999
avg return on 5 trajectories of agent46: 1035.6758201999999
avg return on 5 trajectories of agent47: 829.8330068000001
avg return on 5 trajectories of agent48: 775.2772376
avg return on 5 trajectories of agent49: 742.2468888000001
avg return on 5 trajectories of agent50: 806.9460649999999
avg return on 5 trajectories of agent51: 624.2154292
avg return on 5 trajectories of agent52: 669.1784098
avg return on 5 trajectories of agent53: 651.0294208
avg return on 5 trajectories of agent54: 621.3246091999999
avg return on 5 trajectories of agent55: 679.4301955999999
avg return on 5 trajectories of agent56: 669.2735738
avg return on 5 trajectories of agent57: 617.2034228
avg return on 5 trajectories of agent58: 589.0613264
avg return on 5 trajectories of agent59: 639.3429264
avg return on 5 trajectories of agent60: 652.3757798
avg return on 5 trajectories of agent61: 600.8637461999999
avg return on 5 trajectories of agent62: 567.7924116
avg return on 5 trajectories of agent63: 1052.0401736
avg return on 5 trajectories of agent64: 1038.9330416
avg return on 5 trajectories of agent65: 976.6017849999998
avg return on 5 trajectories of agent66: 1134.9445684
avg return on 5 trajectories of agent67: 1109.7786798000002
avg return on 5 trajectories of agent68: 1067.9201408
avg return on 5 trajectories of agent69: 1166.1321598
avg return on 5 trajectories of agent70: 991.6494329999999
avg return on 5 trajectories of agent71: 1181.3878792
avg return on 5 trajectories of agent72: 968.2732550000001
avg return on 5 trajectories of agent73: 1324.0410572
avg return on 5 trajectories of agent74: 1348.1859874
avg return on 5 trajectories of agent75: 1239.4563206
avg return on 5 trajectories of agent76: 1328.7226042
avg return on 5 trajectories of agent77: 1254.1908758
avg return on 5 trajectories of agent78: 1302.1351186
avg return on 5 trajectories of agent79: 1347.4732938
avg return on 5 trajectories of agent80: 1285.001067
avg return on 5 trajectories of agent81: 1215.7151149999997
avg return on 5 trajectories of agent82: 1209.5949636
avg return on 5 trajectories of agent83: 1262.6385943999999
avg return on 5 trajectories of agent84: 1024.294973
avg return on 5 trajectories of agent85: 727.9359007999999
avg return on 5 trajectories of agent86: 934.458242
avg return on 5 trajectories of agent87: 684.2394644
avg return on 5 trajectories of agent88: 862.2802724
avg return on 5 trajectories of agent89: 792.7682590000001
avg return on 5 trajectories of agent90: 730.5063895999999
avg return on 5 trajectories of agent91: 732.6460430000001
avg return on 5 trajectories of agent92: 755.295582
avg return on 5 trajectories of agent93: 730.9216832
avg return on 5 trajectories of agent94: 686.5214026000001
avg return on 5 trajectories of agent95: 695.9882220000001
avg return on 5 trajectories of agent96: 689.2806918
avg return on 5 trajectories of agent97: 700.7435784000002
avg return on 5 trajectories of agent98: 700.007402
avg return on 5 trajectories of agent99: 671.7620478
avg return on 5 trajectories of agent100: 679.4823931999999
avg return on 5 trajectories of agent101: 674.6998802
avg return on 5 trajectories of agent102: 737.8786194
avg return on 5 trajectories of agent103: 668.7435364
avg return on 5 trajectories of agent104: 685.841283
avg return on 5 trajectories of agent105: 749.4550458000001
avg return on 5 trajectories of agent106: 1008.759397
avg return on 5 trajectories of agent107: 709.8221330000001
avg return on 5 trajectories of agent108: 937.2402608
avg return on 5 trajectories of agent109: 725.0321958000001
avg return on 5 trajectories of agent110: 788.0649453999999
avg return on 5 trajectories of agent111: 687.0613432
avg return on 5 trajectories of agent112: 625.1295132
avg return on 5 trajectories of agent113: 624.6679948
avg return on 5 trajectories of agent114: 609.6721288000001
avg return on 5 trajectories of agent115: 601.4438422000001
avg return on 5 trajectories of agent116: 628.0151624
avg return on 5 trajectories of agent117: 604.5192406
avg return on 5 trajectories of agent118: 611.9022901999999
avg return on 5 trajectories of agent119: 581.6730759999999
avg return on 5 trajectories of agent120: 570.1265827999999
avg return on 5 trajectories of agent121: 580.80573
avg return on 5 trajectories of agent122: 568.3995986
avg return on 5 trajectories of agent123: 583.040371
avg return on 5 trajectories of agent124: 574.0513026
