No devices were found
Creating multiple envs -  8
Environment created
Discrete(2) Box([-4.8               -inf -0.41887903        -inf], [4.8               inf 0.41887903        inf], (4,), float32)
Starting Initial training
Reward at iter 256: 9.4
Reward at iter 512: 13.2
Reward at iter 768: 19.6
Reward at iter 1024: 14.6
Reward at iter 1280: 17.2
Reward at iter 1536: 58.6
Reward at iter 1792: 45.4
Reward at iter 2048: 65.6
Reward at iter 2304: 116.2
Reward at iter 2560: 107.4
Reward at iter 2816: 93.4
Reward at iter 3072: 146.2
Reward at iter 3328: 227.2
Reward at iter 3584: 335.6
Reward at iter 3840: 167.8
Reward at iter 4096: 165.2
Reward at iter 4352: 192.8
Reward at iter 4608: 259.2
Reward at iter 4864: 236.2
Reward at iter 5120: 298.4
Reward at iter 5376: 215.4
Reward at iter 5632: 162.2
Reward at iter 5888: 246.6
Reward at iter 6144: 408.8
Reward at iter 6400: 272.8
Reward at iter 6656: 221.8
Reward at iter 6912: 337.4
Reward at iter 7168: 285.6
Reward at iter 7424: 262.2
Reward at iter 7680: 193.2
Reward at iter 7936: 324.2
Reward at iter 8192: 202.4
Reward at iter 8448: 239.4
Reward at iter 8704: 324.8
Reward at iter 8960: 332.0
Reward at iter 9216: 366.0
Reward at iter 9472: 302.8
Reward at iter 9728: 143.2
Reward at iter 9984: 179.2
Reward at iter 10240: 202.2
Reward at iter 10496: 166.0
Reward at iter 10752: 162.8
Reward at iter 11008: 167.8
Reward at iter 11264: 470.2
Reward at iter 11520: 500.0
Reward at iter 11776: 433.8
Reward at iter 12032: 449.4
Reward at iter 12288: 432.0
Reward at iter 12544: 361.2
Reward at iter 12800: 500.0
Reward at iter 13056: 500.0
Reward at iter 13312: 484.4
Reward at iter 13568: 500.0
Reward at iter 13824: 500.0
Reward at iter 14080: 500.0
Reward at iter 14336: 500.0
Reward at iter 14592: 500.0
Reward at iter 14848: 500.0
Reward at iter 15104: 449.4
Reward at iter 15360: 500.0
Reward at iter 15616: 422.2
Reward at iter 15872: 109.4
Reward at iter 16128: 500.0
Reward at iter 16384: 500.0
Reward at iter 16640: 500.0
Reward at iter 16896: 254.8
Reward at iter 17152: 323.2
Reward at iter 17408: 220.6
Reward at iter 17664: 349.6
Reward at iter 17920: 272.2
Reward at iter 18176: 136.0
Reward at iter 18432: 112.2
Reward at iter 18688: 133.6
Reward at iter 18944: 285.0
Reward at iter 19200: 207.0
Reward at iter 19456: 198.0
Reward at iter 19712: 140.6
Reward at iter 19968: 214.6
Reward at iter 20224: 148.6
Reward at iter 20480: 219.8
Reward at iter 20736: 171.6
Reward at iter 20992: 173.6
Reward at iter 21248: 188.4
Reward at iter 21504: 197.4
Reward at iter 21760: 188.2
Reward at iter 22016: 288.4
Reward at iter 22272: 208.2
Reward at iter 22528: 231.0
Reward at iter 22784: 464.4
Reward at iter 23040: 465.0
Reward at iter 23296: 500.0
Reward at iter 23552: 475.6
Reward at iter 23808: 484.2
Reward at iter 24064: 490.0
Reward at iter 24320: 462.6
Reward at iter 24576: 495.4
Reward at iter 24832: 459.0
Reward at iter 25088: 461.6
Reward at iter 25344: 473.0
Reward at iter 25600: 500.0
Reward at iter 25856: 475.0
Reward at iter 26112: 500.0
Reward at iter 26368: 489.2
Reward at iter 26624: 492.6
Reward at iter 26880: 500.0
Reward at iter 27136: 500.0
Reward at iter 27392: 500.0
Reward at iter 27648: 500.0
Reward at iter 27904: 500.0
Reward at iter 28160: 500.0
Reward at iter 28416: 500.0
Reward at iter 28672: 500.0
Reward at iter 28928: 500.0
Reward at iter 29184: 500.0
Reward at iter 29440: 500.0
Reward at iter 29696: 500.0
Reward at iter 29952: 485.4
Reward at iter 30208: 495.6
Reward at iter 30464: 454.6
Reward at iter 30720: 470.2
Reward at iter 30976: 445.6
Reward at iter 31232: 472.6
Reward at iter 31488: 492.4
Reward at iter 31744: 458.6
Reward at iter 32000: 499.2
Reward at iter 32256: 500.0
Reward at iter 32512: 500.0
Reward at iter 32768: 500.0
Reward at iter 33024: 500.0
Reward at iter 33280: 500.0
Reward at iter 33536: 500.0
Reward at iter 33792: 500.0
Reward at iter 34048: 500.0
Reward at iter 34304: 500.0
Reward at iter 34560: 500.0
Reward at iter 34816: 500.0
Reward at iter 35072: 500.0
Reward at iter 35328: 500.0
Reward at iter 35584: 500.0
Reward at iter 35840: 500.0
Reward at iter 36096: 500.0
Reward at iter 36352: 500.0
Reward at iter 36608: 500.0
Reward at iter 36864: 500.0
Reward at iter 37120: 500.0
Reward at iter 37376: 500.0
Reward at iter 37632: 500.0
Reward at iter 37888: 500.0
Reward at iter 38144: 500.0
Reward at iter 38400: 500.0
Reward at iter 38656: 500.0
Reward at iter 38912: 500.0
Reward at iter 39168: 500.0
Reward at iter 39424: 500.0
Reward at iter 39680: 500.0
Reward at iter 39936: 500.0
Reward at iter 40192: 500.0
Reward at iter 40448: 500.0
Reward at iter 40704: 500.0
Reward at iter 40960: 500.0
Reward at iter 41216: 500.0
Reward at iter 41472: 500.0
Reward at iter 41728: 500.0
Reward at iter 41984: 500.0
Reward at iter 42240: 500.0
Reward at iter 42496: 500.0
Reward at iter 42752: 500.0
Reward at iter 43008: 500.0
Reward at iter 43264: 500.0
Reward at iter 43520: 500.0
Reward at iter 43776: 500.0
Reward at iter 44032: 500.0
Reward at iter 44288: 500.0
Reward at iter 44544: 500.0
Reward at iter 44800: 500.0
Reward at iter 45056: 500.0
Reward at iter 45312: 500.0
Reward at iter 45568: 500.0
Reward at iter 45824: 500.0
Reward at iter 46080: 500.0
Reward at iter 46336: 500.0
Reward at iter 46592: 500.0
Reward at iter 46848: 500.0
Reward at iter 47104: 500.0
Reward at iter 47360: 500.0
Reward at iter 47616: 500.0
Reward at iter 47872: 500.0
Reward at iter 48128: 500.0
Reward at iter 48384: 500.0
Reward at iter 48640: 500.0
Reward at iter 48896: 500.0
Reward at iter 49152: 500.0
Reward at iter 49408: 500.0
Reward at iter 49664: 500.0
Reward at iter 49920: 500.0
Reward at iter 50176: 500.0
Reward at iter 50432: 500.0
Reward at iter 50688: 500.0
Reward at iter 50944: 500.0
Reward at iter 51200: 500.0
Reward at iter 51456: 500.0
Reward at iter 51712: 500.0
Reward at iter 51968: 500.0
Reward at iter 52224: 500.0
Reward at iter 52480: 500.0
Reward at iter 52736: 500.0
Reward at iter 52992: 500.0
Reward at iter 53248: 500.0
Reward at iter 53504: 500.0
Reward at iter 53760: 500.0
Reward at iter 54016: 500.0
Reward at iter 54272: 500.0
Reward at iter 54528: 500.0
Reward at iter 54784: 500.0
Reward at iter 55040: 500.0
Reward at iter 55296: 500.0
Reward at iter 55552: 500.0
Reward at iter 55808: 500.0
Reward at iter 56064: 500.0
Reward at iter 56320: 500.0
Reward at iter 56576: 500.0
Reward at iter 56832: 500.0
Reward at iter 57088: 500.0
Reward at iter 57344: 500.0
Reward at iter 57600: 500.0
Reward at iter 57856: 500.0
Reward at iter 58112: 500.0
Reward at iter 58368: 500.0
Reward at iter 58624: 500.0
Reward at iter 58880: 500.0
Reward at iter 59136: 500.0
Reward at iter 59392: 500.0
Reward at iter 59648: 500.0
Reward at iter 59904: 500.0
Reward at iter 60160: 500.0
Reward at iter 60416: 500.0
Reward at iter 60672: 500.0
Reward at iter 60928: 500.0
Reward at iter 61184: 500.0
Reward at iter 61440: 500.0
Reward at iter 61696: 500.0
Reward at iter 61952: 500.0
Reward at iter 62208: 500.0
Reward at iter 62464: 500.0
Reward at iter 62720: 500.0
Reward at iter 62976: 500.0
Reward at iter 63232: 500.0
Reward at iter 63488: 500.0
Reward at iter 63744: 500.0
Reward at iter 64000: 500.0
Reward at iter 64256: 500.0
Reward at iter 64512: 500.0
Reward at iter 64768: 500.0
Reward at iter 65024: 500.0
Reward at iter 65280: 500.0
Reward at iter 65536: 500.0
Reward at iter 65792: 500.0
Reward at iter 66048: 500.0
Reward at iter 66304: 500.0
Reward at iter 66560: 500.0
Reward at iter 66816: 500.0
Reward at iter 67072: 500.0
Reward at iter 67328: 500.0
Reward at iter 67584: 500.0
Reward at iter 67840: 500.0
Reward at iter 68096: 500.0
Reward at iter 68352: 500.0
Reward at iter 68608: 500.0
Reward at iter 68864: 500.0
Reward at iter 69120: 500.0
Reward at iter 69376: 500.0
Reward at iter 69632: 500.0
Reward at iter 69888: 500.0
Reward at iter 70144: 500.0
Reward at iter 70400: 500.0
Reward at iter 70656: 500.0
Reward at iter 70912: 500.0
Reward at iter 71168: 500.0
Reward at iter 71424: 500.0
Reward at iter 71680: 500.0
Reward at iter 71936: 500.0
Reward at iter 72192: 500.0
Reward at iter 72448: 500.0
Reward at iter 72704: 500.0
Reward at iter 72960: 500.0
Reward at iter 73216: 500.0
Reward at iter 73472: 423.0
Reward at iter 73728: 478.6
Reward at iter 73984: 500.0
Reward at iter 74240: 500.0
Reward at iter 74496: 500.0
Reward at iter 74752: 500.0
Reward at iter 75008: 500.0
Reward at iter 75264: 500.0
Reward at iter 75520: 500.0
Reward at iter 75776: 500.0
Reward at iter 76032: 500.0
Reward at iter 76288: 500.0
Reward at iter 76544: 500.0
Reward at iter 76800: 500.0
Reward at iter 77056: 500.0
Reward at iter 77312: 500.0
Reward at iter 77568: 500.0
Reward at iter 77824: 500.0
Reward at iter 78080: 500.0
Reward at iter 78336: 500.0
Reward at iter 78592: 351.0
Reward at iter 78848: 353.6
Reward at iter 79104: 431.2
Reward at iter 79360: 500.0
Reward at iter 79616: 500.0
Reward at iter 79872: 500.0
Reward at iter 80128: 500.0
Reward at iter 80384: 500.0
Reward at iter 80640: 500.0
Reward at iter 80896: 500.0
Reward at iter 81152: 500.0
Reward at iter 81408: 500.0
Reward at iter 81664: 500.0
Reward at iter 81920: 500.0
Reward at iter 82176: 500.0
Reward at iter 82432: 500.0
Reward at iter 82688: 500.0
Reward at iter 82944: 500.0
Reward at iter 83200: 500.0
Reward at iter 83456: 500.0
Reward at iter 83712: 500.0
Reward at iter 83968: 500.0
Reward at iter 84224: 500.0
Reward at iter 84480: 500.0
Reward at iter 84736: 500.0
Reward at iter 84992: 500.0
Reward at iter 85248: 500.0
Reward at iter 85504: 500.0
Reward at iter 85760: 500.0
Reward at iter 86016: 500.0
Reward at iter 86272: 500.0
Reward at iter 86528: 500.0
Reward at iter 86784: 500.0
Reward at iter 87040: 500.0
Reward at iter 87296: 500.0
Reward at iter 87552: 500.0
Reward at iter 87808: 500.0
Reward at iter 88064: 500.0
