Thu Mar 19 01:58:06 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 595.45.04              Driver Version: 595.45.04      CUDA Version: 13.2     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Setting seed -  9
---------------------------------
Environment created
Box(-1.0, 1.0, (3,), float32) Box(-inf, inf, (11,), float64)
Starting Initial training
avg 3 return on policy: 32.4525995105505
avg 3 return on policy: 39.13476458688577
avg 3 return on policy: 53.69914522767067
avg 3 return on policy: 71.29564197858174
avg 3 return on policy: 76.78716014822324
avg 3 return on policy: 100.09961474935214
avg 3 return on policy: 146.9392960468928
avg 3 return on policy: 142.1267163132628
avg 3 return on policy: 124.54087402919929
avg 3 return on policy: 143.7782773077488
avg 3 return on policy: 148.31969718883434
avg 3 return on policy: 179.7925347983837
avg 3 return on policy: 230.59072168668112
avg 3 return on policy: 173.5715712706248
avg 3 return on policy: 181.78901189565659
avg 3 return on policy: 194.24046311030784
avg 3 return on policy: 225.0880486468474
avg 3 return on policy: 230.46710596481958
avg 3 return on policy: 239.22798828283945
avg 3 return on policy: 221.83745304743448
avg 3 return on policy: 229.46257251501083
avg 3 return on policy: 228.11941333611807
avg 3 return on policy: 220.11915026108423
avg 3 return on policy: 212.0965759754181
avg 3 return on policy: 109.3516729871432
avg 3 return on policy: 225.89560053745905
avg 3 return on policy: 222.7092745701472
avg 3 return on policy: 221.06921603282294
avg 3 return on policy: 217.95390309890112
avg 3 return on policy: 221.16466893752417
avg 3 return on policy: 226.45580691099167
avg 3 return on policy: 225.68276766935983
avg 3 return on policy: 225.85505463679632
avg 3 return on policy: 216.71646171808243
avg 3 return on policy: 218.95704744259515
avg 3 return on policy: 218.92806341250738
avg 3 return on policy: 218.09253853559494
avg 3 return on policy: 191.00477619965872
avg 3 return on policy: 204.76300885279974
avg 3 return on policy: 210.4311745762825
avg 3 return on policy: 225.23005743821463
avg 3 return on policy: 222.61030306418738
avg 3 return on policy: 221.21887252728143
avg 3 return on policy: 226.68387166659036
avg 3 return on policy: 231.4898484746615
avg 3 return on policy: 227.7113885084788
avg 3 return on policy: 236.86085718870163
avg 3 return on policy: 243.46148906151453
avg 3 return on policy: 237.91731351613998
avg 3 return on policy: 235.78167523940405
avg 3 return on policy: 240.76678748925528
avg 3 return on policy: 240.29932445287704
avg 3 return on policy: 133.2098050713539
avg 3 return on policy: 251.3735852042834
avg 3 return on policy: 252.93441331386566
avg 3 return on policy: 253.07078542311987
avg 3 return on policy: 253.904933710893
avg 3 return on policy: 250.0308288137118
avg 3 return on policy: 248.11754818757376
avg 3 return on policy: 260.3298885027568
avg 3 return on policy: 255.7596877614657
avg 3 return on policy: 263.18643776575726
avg 3 return on policy: 259.7564683357875
