Thu Mar 19 00:43:39 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 595.45.04              Driver Version: 595.45.04      CUDA Version: 13.2     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Setting seed -  9
---------------------------------
Environment created
Box(-0.4, 0.4, (17,), float32) Box(-inf, inf, (348,), float64)
Starting Initial training
avg 3 return on policy: 251.65907578667006
avg 3 return on policy: 243.74763851364455
avg 3 return on policy: 304.94458130498725
avg 3 return on policy: 320.74659490585327
avg 3 return on policy: 332.6657330679397
avg 3 return on policy: 339.99958610037964
avg 3 return on policy: 338.9670710166295
avg 3 return on policy: 309.78971566880745
avg 3 return on policy: 304.47627001368284
avg 3 return on policy: 325.56386383622885
avg 3 return on policy: 330.88614307840663
avg 3 return on policy: 342.6313028931618
avg 3 return on policy: 355.68697104851407
avg 3 return on policy: 360.4746300478776
avg 3 return on policy: 351.5774860084057
avg 3 return on policy: 354.9311772584915
avg 3 return on policy: 312.0906125791371
avg 3 return on policy: 287.24651731550694
avg 3 return on policy: 299.44586487611133
avg 3 return on policy: 257.2896352509658
avg 3 return on policy: 252.01239052787423
avg 3 return on policy: 309.4125910302003
avg 3 return on policy: 285.17321308453876
avg 3 return on policy: 259.3363048334916
avg 3 return on policy: 268.2586695551872
avg 3 return on policy: 271.0062185525894
avg 3 return on policy: 246.82664949695268
avg 3 return on policy: 267.7067237695058
avg 3 return on policy: 260.74545445044834
avg 3 return on policy: 261.73068950573605
avg 3 return on policy: 252.139532862852
avg 3 return on policy: 260.07453753550845
avg 3 return on policy: 199.01200505097708
avg 3 return on policy: 313.13254962364834
avg 3 return on policy: 351.37811656792957
avg 3 return on policy: 339.6880054275195
avg 3 return on policy: 348.63673055171967
avg 3 return on policy: 333.66041998068494
avg 3 return on policy: 334.0863339503606
avg 3 return on policy: 323.3345127304395
avg 3 return on policy: 308.33534335096675
avg 3 return on policy: 337.0795801281929
avg 3 return on policy: 323.34708430369693
avg 3 return on policy: 336.74214385449886
avg 3 return on policy: 328.6554508805275
avg 3 return on policy: 322.5453943212827
avg 3 return on policy: 342.6230034828186
avg 3 return on policy: 332.83281866709393
avg 3 return on policy: 348.38333396116894
avg 3 return on policy: 352.549823363622
avg 3 return on policy: 359.17588516076404
avg 3 return on policy: 367.98522706826526
avg 3 return on policy: 350.7187206347783
avg 3 return on policy: 357.83302477995557
avg 3 return on policy: 339.0271635055542
avg 3 return on policy: 341.0385219653447
avg 3 return on policy: 336.0926702419917
avg 3 return on policy: 344.9852027495702
avg 3 return on policy: 346.8807199398677
avg 3 return on policy: 354.01591126124066
avg 3 return on policy: 360.8645536104838
avg 3 return on policy: 352.1522381703059
avg 3 return on policy: 355.7168154319127
