No devices were found
Creating multiple envs -  16
Environment created
Discrete(3) Box([-1.2  -0.07], [0.6  0.07], (2,), float32)
Starting Initial training
Reward at iter 256: -200.0
Reward at iter 512: -200.0
Reward at iter 768: -200.0
Reward at iter 1024: -200.0
Reward at iter 1280: -200.0
Reward at iter 1536: -200.0
Reward at iter 1792: -200.0
Reward at iter 2048: -200.0
Reward at iter 2304: -200.0
Reward at iter 2560: -200.0
Reward at iter 2816: -200.0
Reward at iter 3072: -200.0
Reward at iter 3328: -200.0
Reward at iter 3584: -200.0
Reward at iter 3840: -200.0
Reward at iter 4096: -200.0
Reward at iter 4352: -200.0
Reward at iter 4608: -200.0
Reward at iter 4864: -200.0
Reward at iter 5120: -200.0
Reward at iter 5376: -200.0
Reward at iter 5632: -200.0
Reward at iter 5888: -200.0
Reward at iter 6144: -200.0
Reward at iter 6400: -200.0
Reward at iter 6656: -200.0
Reward at iter 6912: -200.0
Reward at iter 7168: -200.0
Reward at iter 7424: -200.0
Reward at iter 7680: -200.0
Reward at iter 7936: -200.0
Reward at iter 8192: -200.0
Reward at iter 8448: -200.0
Reward at iter 8704: -200.0
Reward at iter 8960: -200.0
Reward at iter 9216: -200.0
Reward at iter 9472: -200.0
Reward at iter 9728: -200.0
Reward at iter 9984: -200.0
Reward at iter 10240: -200.0
Reward at iter 10496: -200.0
Reward at iter 10752: -200.0
Reward at iter 11008: -200.0
Reward at iter 11264: -200.0
Reward at iter 11520: -200.0
Reward at iter 11776: -200.0
Reward at iter 12032: -200.0
Reward at iter 12288: -200.0
Reward at iter 12544: -200.0
Reward at iter 12800: -200.0
Reward at iter 13056: -200.0
Reward at iter 13312: -200.0
Reward at iter 13568: -200.0
Reward at iter 13824: -200.0
Reward at iter 14080: -200.0
Reward at iter 14336: -200.0
Reward at iter 14592: -200.0
Reward at iter 14848: -200.0
Reward at iter 15104: -200.0
Reward at iter 15360: -200.0
Reward at iter 15616: -200.0
Reward at iter 15872: -200.0
Reward at iter 16128: -200.0
Reward at iter 16384: -200.0
Reward at iter 16640: -200.0
Reward at iter 16896: -200.0
Reward at iter 17152: -200.0
Reward at iter 17408: -200.0
Reward at iter 17664: -200.0
Reward at iter 17920: -200.0
Reward at iter 18176: -200.0
Reward at iter 18432: -200.0
Reward at iter 18688: -200.0
Reward at iter 18944: -200.0
Reward at iter 19200: -200.0
Reward at iter 19456: -200.0
Reward at iter 19712: -200.0
Reward at iter 19968: -200.0
Reward at iter 20224: -200.0
Reward at iter 20480: -200.0
Reward at iter 20736: -200.0
Reward at iter 20992: -200.0
Reward at iter 21248: -200.0
Reward at iter 21504: -200.0
Reward at iter 21760: -200.0
Reward at iter 22016: -200.0
Reward at iter 22272: -200.0
Reward at iter 22528: -200.0
Reward at iter 22784: -200.0
Reward at iter 23040: -200.0
Reward at iter 23296: -200.0
Reward at iter 23552: -200.0
Reward at iter 23808: -200.0
Reward at iter 24064: -200.0
Reward at iter 24320: -200.0
Reward at iter 24576: -200.0
Reward at iter 24832: -200.0
Reward at iter 25088: -200.0
Reward at iter 25344: -200.0
Reward at iter 25600: -200.0
Reward at iter 25856: -200.0
Reward at iter 26112: -200.0
Reward at iter 26368: -200.0
Reward at iter 26624: -200.0
Reward at iter 26880: -200.0
Reward at iter 27136: -200.0
Reward at iter 27392: -200.0
Reward at iter 27648: -200.0
Reward at iter 27904: -200.0
Reward at iter 28160: -200.0
Reward at iter 28416: -200.0
Reward at iter 28672: -200.0
Reward at iter 28928: -200.0
Reward at iter 29184: -200.0
Reward at iter 29440: -200.0
Reward at iter 29696: -200.0
Reward at iter 29952: -200.0
Reward at iter 30208: -200.0
Reward at iter 30464: -200.0
Reward at iter 30720: -200.0
Reward at iter 30976: -200.0
Reward at iter 31232: -200.0
Reward at iter 31488: -200.0
Reward at iter 31744: -200.0
Reward at iter 32000: -200.0
Reward at iter 32256: -200.0
Reward at iter 32512: -200.0
Reward at iter 32768: -200.0
Reward at iter 33024: -200.0
Reward at iter 33280: -200.0
Reward at iter 33536: -200.0
Reward at iter 33792: -200.0
Reward at iter 34048: -200.0
Reward at iter 34304: -200.0
Reward at iter 34560: -200.0
Reward at iter 34816: -200.0
Reward at iter 35072: -200.0
Reward at iter 35328: -200.0
Reward at iter 35584: -200.0
Reward at iter 35840: -200.0
Reward at iter 36096: -200.0
Reward at iter 36352: -200.0
Reward at iter 36608: -200.0
Reward at iter 36864: -200.0
Reward at iter 37120: -200.0
Reward at iter 37376: -200.0
Reward at iter 37632: -200.0
Reward at iter 37888: -200.0
Reward at iter 38144: -200.0
Reward at iter 38400: -200.0
Reward at iter 38656: -200.0
Reward at iter 38912: -200.0
Reward at iter 39168: -200.0
Reward at iter 39424: -200.0
Reward at iter 39680: -200.0
Reward at iter 39936: -200.0
Reward at iter 40192: -200.0
Reward at iter 40448: -200.0
Reward at iter 40704: -200.0
Reward at iter 40960: -200.0
Reward at iter 41216: -200.0
Reward at iter 41472: -200.0
Reward at iter 41728: -200.0
Reward at iter 41984: -200.0
Reward at iter 42240: -200.0
Reward at iter 42496: -200.0
Reward at iter 42752: -200.0
Reward at iter 43008: -200.0
Reward at iter 43264: -200.0
Reward at iter 43520: -200.0
Reward at iter 43776: -200.0
Reward at iter 44032: -200.0
Reward at iter 44288: -200.0
Reward at iter 44544: -200.0
Reward at iter 44800: -200.0
Reward at iter 45056: -200.0
Reward at iter 45312: -200.0
Reward at iter 45568: -200.0
Reward at iter 45824: -200.0
Reward at iter 46080: -200.0
Reward at iter 46336: -200.0
Reward at iter 46592: -200.0
Reward at iter 46848: -200.0
Reward at iter 47104: -200.0
Reward at iter 47360: -200.0
Reward at iter 47616: -200.0
Reward at iter 47872: -200.0
Reward at iter 48128: -200.0
Reward at iter 48384: -200.0
Reward at iter 48640: -200.0
Reward at iter 48896: -200.0
Reward at iter 49152: -200.0
Reward at iter 49408: -200.0
Reward at iter 49664: -200.0
Reward at iter 49920: -200.0
Reward at iter 50176: -200.0
Reward at iter 50432: -200.0
Reward at iter 50688: -200.0
Reward at iter 50944: -200.0
Reward at iter 51200: -200.0
Reward at iter 51456: -200.0
Reward at iter 51712: -200.0
Reward at iter 51968: -200.0
Reward at iter 52224: -200.0
Reward at iter 52480: -200.0
Reward at iter 52736: -200.0
Reward at iter 52992: -200.0
Reward at iter 53248: -200.0
Reward at iter 53504: -200.0
Reward at iter 53760: -200.0
Reward at iter 54016: -200.0
Reward at iter 54272: -200.0
Reward at iter 54528: -200.0
Reward at iter 54784: -200.0
Reward at iter 55040: -200.0
Reward at iter 55296: -200.0
Reward at iter 55552: -200.0
Reward at iter 55808: -200.0
Reward at iter 56064: -200.0
Reward at iter 56320: -200.0
Reward at iter 56576: -200.0
Reward at iter 56832: -200.0
Reward at iter 57088: -200.0
Reward at iter 57344: -200.0
Reward at iter 57600: -200.0
Reward at iter 57856: -200.0
Reward at iter 58112: -200.0
Reward at iter 58368: -200.0
Reward at iter 58624: -200.0
Reward at iter 58880: -200.0
Reward at iter 59136: -200.0
Reward at iter 59392: -200.0
Reward at iter 59648: -200.0
Reward at iter 59904: -200.0
Reward at iter 60160: -200.0
Reward at iter 60416: -200.0
Reward at iter 60672: -200.0
Reward at iter 60928: -200.0
Reward at iter 61184: -200.0
Reward at iter 61440: -200.0
Reward at iter 61696: -200.0
Reward at iter 61952: -200.0
