No devices were found
Creating multiple envs -  4
---------------------------------
Environment created
Box(-1.0, 1.0, (2,), float32) Box(-inf, inf, (8,), float64)
Starting Initial training
Reward at iter 4096: 29.428373820447717
Reward at iter 8192: 31.855115167130144
Reward at iter 12288: 26.800966890436012
Reward at iter 16384: 27.034598919950508
Reward at iter 20480: 26.628984021373252
Reward at iter 24576: 23.806512728804535
Reward at iter 28672: 21.461640153056123
Reward at iter 32768: 22.933118369734807
Reward at iter 36864: 18.682169764470675
Reward at iter 40960: 31.37590527029615
Reward at iter 45056: 32.44111484177997
Reward at iter 49152: 33.92240394151307
Reward at iter 53248: 33.55680151204253
Reward at iter 57344: 33.60914337251805
Reward at iter 61440: 36.18350319857084
Reward at iter 65536: 38.744725062981296
Reward at iter 69632: 39.716953211505356
Reward at iter 73728: 40.34790945545834
Reward at iter 77824: 44.004823739966916
Reward at iter 81920: 38.26110703369899
Reward at iter 86016: 42.22186401419965
Reward at iter 90112: 47.841560165398214
Reward at iter 94208: 48.88766680604814
Reward at iter 98304: 57.2968054418733
Reward at iter 102400: 58.23851562752799
Reward at iter 106496: 69.42217818050212
Reward at iter 110592: 68.82866732287106
Reward at iter 114688: 72.91405385484794
Reward at iter 118784: 83.05671535580392
Reward at iter 122880: 80.76234838056871
Reward at iter 126976: 89.1018272069953
Reward at iter 131072: 98.55289683846426
Reward at iter 135168: 95.6312619153402
Reward at iter 139264: 101.99654155296355
Reward at iter 143360: 103.45364430658246
Reward at iter 147456: 104.3856385892354
Reward at iter 151552: 95.92411705067911
Reward at iter 155648: 109.95988726611635
Reward at iter 159744: 114.51119846505651
Reward at iter 163840: 114.88273284548511
Reward at iter 167936: 122.30881056785479
Reward at iter 172032: 123.68446738016289
Reward at iter 176128: 118.3828305427432
Reward at iter 180224: 125.58851228461216
Reward at iter 184320: 120.12668927683009
Reward at iter 188416: 125.78975503347677
Reward at iter 192512: 130.87604101098628
Reward at iter 196608: 123.65196078196433
Reward at iter 200704: 130.94234440733607
Reward at iter 204800: 127.1205208720583
Reward at iter 208896: 139.84604974309863
Reward at iter 212992: 139.5371291443938
Reward at iter 217088: 133.97680393894115
Reward at iter 221184: 132.42547576834323
Reward at iter 225280: 135.17630311047168
Reward at iter 229376: 132.2030308878139
